id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
02090,AK,Fairbanks North Star Borough,"98,293","98,100","100,330","100,879","99,295","99,639","100,605"
02100,AK,Haines Borough,"2,500","2,572","2,572","2,551","2,537","2,484","2,496"
02105,AK,Hoonah-Angoon Census Area,"2,135","2,111","2,131","2,128","2,081","2,118","2,078"
02110,AK,Juneau City and Borough,"31,392","32,175","32,434","32,604","32,511","32,603","32,468"
02122,AK,Kenai Peninsula Borough,"55,570","56,369","56,952","57,059","57,626","58,044","58,506"
02130,AK,Ketchikan Gateway Borough,"13,539","13,639","13,711","13,673","13,758","13,689","13,746"
02150,AK,Kodiak Island Borough,"13,652","13,807","14,051","14,066","13,953","13,789","13,732"
02158,AK,Kusilvak Census Area,"7,464","7,657","7,792","7,950","8,063","8,109","8,049"
02164,AK,Lake and Peninsula Borough,"1,638","1,652","1,644","1,654","1,628","1,567","1,562"
02170,AK,Matanuska-Susitna Borough,"89,766","91,831","93,791","95,923","98,196","101,120","104,365"
02180,AK,Nome Census Area,"9,536","9,834","9,873","9,897","9,834","9,875","9,917"
02185,AK,North Slope Borough,"9,467","9,536","9,662","9,741","9,708","9,690","9,606"
02188,AK,Northwest Arctic Borough,"7,542","7,722","7,721","7,714","7,744","7,764","7,673"
02195,AK,Petersburg Borough,"3,217","3,246","3,263","3,245","3,175","3,149","3,149"
02198,AK,Prince of Wales-Hyder Census Area,"6,212","6,378","6,375","6,394","6,393","6,360","6,347"
02220,AK,Sitka City and Borough,"8,898","8,907","9,048","9,001","8,883","8,844","8,830"
02230,AK,Skagway Municipality,965,958,990,"1,004","1,031","1,058","1,088"
02240,AK,Southeast Fairbanks Census Area,"7,071","7,144","7,179","7,001","6,968","6,826","6,876"
02261,AK,Valdez-Cordova Census Area,"9,657","9,737","9,729","9,764","9,453","9,308","9,355"
02275,AK,Wrangell City and Borough,"2,370","2,381","2,402","2,417","2,376","2,400","2,411"
02282,AK,Yakutat City and Borough,661,654,657,643,642,620,601
02290,AK,Yukon-Koyukuk Census Area,"5,587","5,728","5,728","5,658","5,548","5,541","5,526"
04001,AZ,Apache County,"71,761","72,391","72,968","72,021","72,034","71,594","73,112"
04003,AZ,Cochise County,"131,807","132,960","131,843","129,554","127,321","126,395","125,770"
04005,AZ,Coconino County,"134,624","134,186","135,999","136,641","137,695","139,076","140,908"
04007,AZ,Gila County,"53,539","53,486","53,036","53,039","53,124","53,138","53,556"
04009,AZ,Graham County,"37,140","37,083","36,958","37,401","38,013","37,673","37,599"
04011,AZ,Greenlee County,"8,338","8,585","8,763","8,905","9,315","9,525","9,613"
04012,AZ,La Paz County,"20,449","20,496","20,365","20,379","20,313","20,147","20,317"
04013,AZ,Maricopa County,"3,825,616","3,870,806","3,942,959","4,011,219","4,083,931","4,161,637","499,999"
04015,AZ,Mohave County,"200,378","202,635","203,126","202,622","202,985","204,165","205,249"
04017,AZ,Navajo County,"107,714","107,435","107,037","107,443","108,178","108,363","110,026"
04019,AZ,Pima County,"981,927","987,816","992,490","996,634","1,003,157","1,008,205","199,990"
04021,AZ,Pinal County,"379,400","378,007","382,259","384,978","396,024","406,220","418,540"
04023,AZ,Santa Cruz County,"47,409","47,600","47,321","46,903","46,387","46,137","45,985"
04025,AZ,Yavapai County,"211,139","211,138","212,350","215,027","218,405","221,584","225,562"
04027,AZ,Yuma County,"197,071","202,539","202,160","201,851","203,111","203,706","205,631"
05001,AR,Arkansas County,"19,015","18,880","18,978","18,777","18,502","18,373","18,214"
05003,AR,Ashley County,"21,831","21,656","21,491","21,234","20,920","20,810","20,492"
05005,AR,Baxter County,"41,539","41,280","41,068","40,962","40,797","41,070","41,062"
05007,AR,Benton County,"222,566","228,788","234,243","238,778","243,991","250,851","258,291"
05009,AR,Boone County,"36,897","37,055","37,356","37,412","37,206","37,229","37,304"
05011,AR,Bradley County,"11,486","11,445","11,273","11,133","11,024","11,053","10,996"
05013,AR,Calhoun County,"5,337","5,288","5,306","5,214","5,175","5,209","5,144"
05015,AR,Carroll County,"27,540","27,443","27,574","27,745","27,742","27,744","27,646"
05017,AR,Chicot County,"11,793","11,683","11,473","11,344","11,196","10,985","10,945"
05019,AR,Clark County,"22,944","22,943","22,807","22,650","22,663","22,642","22,657"
05021,AR,Clay County,"16,050","15,827","15,568","15,312","15,143","15,067","14,920"
05023,AR,Cleburne County,"25,999","25,942","25,824","25,710","25,670","25,469","25,264"
05025,AR,Cleveland County,"8,686","8,665","8,615","8,539","8,410","8,299","8,241"
05027,AR,Columbia County,"24,747","24,696","24,429","24,294","24,078","24,140","23,901"
05029,AR,Conway County,"21,239","21,146","21,205","21,145","21,019","20,994","20,937"
05031,AR,Craighead County,"96,727","98,371","99,948","101,654","102,621","104,362","105,835"
05033,AR,Crawford County,"61,977","61,829","61,940","61,696","61,840","61,894","62,267"
05035,AR,Crittenden County,"50,947","50,520","50,065","49,730","49,538","48,985","49,235"
05037,AR,Cross County,"17,833","17,746","17,651","17,492","17,182","17,282","17,037"
05039,AR,Dallas County,"8,068","8,078","7,979","7,922","7,735","7,583","7,469"
05041,AR,Desha County,"12,964","12,709","12,575","12,467","12,245","12,007","11,876"
05043,AR,Drew County,"18,657","18,721","18,762","18,682","18,669","18,675","18,651"
05045,AR,Faulkner County,"114,065","116,297","118,534","119,299","120,683","121,343","122,227"
05047,AR,Franklin County,"18,124","18,002","17,957","17,934","17,767","17,709","17,626"
05049,AR,Fulton County,"12,216","12,296","12,246","12,243","12,130","12,188","12,123"
05051,AR,Garland County,"96,123","96,617","96,794","96,986","97,183","97,154","97,477"
05053,AR,Grant County,"17,891","17,954","18,026","18,035","18,059","18,030","18,082"
05055,AR,Greene County,"42,187","42,732","43,166","43,078","43,717","44,167","44,598"
05057,AR,Hempstead County,"22,600","22,507","22,346","22,392","22,289","22,038","21,974"
05059,AR,Hot Spring County,"33,212","33,115","33,457","33,495","33,389","33,483","33,374"
